
Имя образа                     PID Имя сессии          № сеанса       Память Состояние       Пользователь                                           Время ЦП Заголовок окна                                                          
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
csrss.exe                      984 Console                    1     4 176 КБ Running         Н/Д                                                     1:17:04 Н/Д                                                                     
dwm.exe                       1380 Console                    1   185 712 КБ Running         Н/Д                                                     8:56:37 DWM Notification Window                                                 
NVDisplay.Container.exe       2964 Console                    1    19 528 КБ Running         Н/Д                                                     0:00:18 NvSvc                                                                   
AsMonStartupTask64.exe        8060 Console                    1     6 424 КБ Running         LAPTOP-EODNOMHU\777                                     0:00:00 ASUS AsMonStartupTask App                                               
nvcontainer.exe               8092 Console                    1    14 412 КБ Running         LAPTOP-EODNOMHU\777                                     0:00:10 {2A335767-FC94-417F-ABC4-B4122ADBEE60}                                  
nvcontainer.exe               8100 Console                    1    54 648 КБ Running         LAPTOP-EODNOMHU\777                                     0:02:14 BroadcastListenerWindow                                                 
sihost.exe                    7456 Console                    1    23 084 КБ Running         LAPTOP-EODNOMHU\777                                     0:00:43 Н/Д                                                                     
svchost.exe                   8220 Console                    1    30 632 КБ Running         LAPTOP-EODNOMHU\777                                     0:01:52 Windows Push Notifications Platform                                     
taskhostw.exe                 8288 Console                    1    13 528 КБ Running         LAPTOP-EODNOMHU\777                                     0:00:08 Task Host Window                                                        
ASUSHelloBG.exe               8312 Console                    1     1 032 КБ Running         LAPTOP-EODNOMHU\777                                     0:00:00 ASUSHelloBG                                                             
ASUSPowerScheme.exe           8372 Console                    1     1 472 КБ Running         LAPTOP-EODNOMHU\777                                     0:00:00 ASUSPowerScheme                                                         
explorer.exe                  8908 Console                    1   126 184 КБ Running         LAPTOP-EODNOMHU\777                                     0:51:22 Н/Д                                                                     
svchost.exe                   8648 Console                    1    18 444 КБ Running         LAPTOP-EODNOMHU\777                                     0:00:03 Н/Д                                                                     
igfxEM.exe                    9380 Console                    1    18 620 КБ Running         LAPTOP-EODNOMHU\777                                     0:02:24 The Event Manager Dashboard                                             
ModuleCoreService.exe        10184 Console                    1    12 564 КБ Running         LAPTOP-EODNOMHU\777                                     0:00:02 {30A1588D-127B-4CC0-BA47-B11825F07731}                                  
